"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B00CF48I9Y","https://m.media-amazon.com/images/I/51q-mWHKzCL._SX450_.jpg","B00CF48I9Y","Natural Sciatica Relief System 2013 (3 DVDs)","N/A","FBM","Movies & TV",180742,610694105129,"N/A",0610694105129,"N/A",,132874,29.95,-5,119,119,43,10240.77,10240.62,43,3.7,"Sugarhouse Book Works","USA",2,1328,561,"Large Standard-Size",1.14,5.35,7.4,0.35,"N/A","N/A","11/30/2024",148,1,0,2.76
"https://amazon.com/dp/B001J5CKTE","https://m.media-amazon.com/images/I/51NPky4Y+uL._SX450_.jpg","B001J5CKTE","New York Blood","BRAIN DAMAGE FILMS","FBA","Movies & TV",246642,769529974031,00769529974031,0769529974031,"N/A",,10433,29.99,"N/A",102,102,,9426.55,9425.43,19,3.5,"RapidPrimePros","USA",3,253,175,"Small Standard-Size",7.1,5.42,0.58,0.18,11.28,31.12,"07/31/2025",202,1,0,5.36
"https://amazon.com/dp/B004QD47YW","https://m.media-amazon.com/images/I/91tT5nHktSL._SX450_.jpg","B004QD47YW","One Fine Day/Solaris - double feature; George Clooney, Michelle Pfeiffer","N/A","FBM","Movies & TV",251383,024543528012,"N/A",0024543528012,"N/A",,22969,20.05,-44,143,143,345,8219.49,8218.93,"N/A","N/A","Goodwill Retail Services, Inc.","USA",2,845,"N/A","Small Standard-Size",7.1,5.42,0.58,0.18,"N/A","N/A","12/31/2024",173,1,0,"N/A"
"https://amazon.com/dp/B0B23LV5Q5","https://m.media-amazon.com/images/I/41kW1wMdzqL._SX450_.jpg","B0B23LV5Q5","212XL Ink Cartridges Remanufactured for Epson 212 212XL T212XL T212 Ink Cartridge Combo 4 Pack Work with Epson WF-2850 WF-2830 XP-4100 XP-4105 Printer, New Upgraded Chips (Black Cyan Magenta Yellow)","Wiseta","FBA","Office Products",25186,753459095232,"N/A",0753459095232,"N/A","Inkjet Ink Cartridges",834,26.26,-71,130,140,,6481.71,7002.79,285,3.7,"Dongguan Zhenyi Trading Co., Ltd.","China",5,0,"N/A","Large Standard-Size",2.72,2.99,3.62,0.31,14.82,40.89,"07/31/2025",39,1,0,0.45
"https://amazon.com/dp/B0081G0X2A","https://m.media-amazon.com/images/I/91qVa76dq5L._SX450_.jpg","B0081G0X2A","Christian Heritage Art Program Complete DVD Set - Levels 1-8","Christian Heritage Art Program St. Cecilia Congregation","FBA","Movies & TV",224538,661799463911,"N/A",0661799463911,"N/A",,168092,25.25,-80,122,122,6,6632.96,6631.9,"N/A","N/A","Family Fun Store","USA",1,0,"N/A","Small Standard-Size",7.1,5.42,0.58,0.18,11.28,31.12,"06/30/2025",159,4,0,"N/A"
"https://amazon.com/dp/B0F428W2ZQ","https://m.media-amazon.com/images/I/81qzL-VvtcL._SX450_.jpg","B0F428W2ZQ","Reusable Pain Patch, for Sore Muscle Relief - Pain Relief Patches for Back, Foot, Knee, Neck & More, Easy Adhesive Application, Fast Acting - Includes 1 Patch, 3 Adhesives&1 Carry Case-006","Teemofe","FBA","Health & Household",186354,709347232708,"N/A",0709347232708,"N/A","Medications",467,24.99,63,13,145,,319.01,6155.59,41,3.4,"jiangruichen","China",1,0,"N/A","Small Standard-Size",0.71,5.59,7.68,0.18,15.35,42.33,"07/31/2025",4,8,0,0.31
"https://amazon.com/dp/B07GGCZ7GS","https://m.media-amazon.com/images/I/617rNfJ7MgL._SX450_.jpg","B07GGCZ7GS","The Sexorcist / Deviates In Love","Vinegar Syndrome","FBM","Movies & TV",303157,814456021805,00814456021805,0814456021805,"N/A",,233087,23.73,-34,131,131,101,5916.43,5915.02,7,3.5,"Go_Peachy","USA",1,641,2189,"Small Standard-Size",0.58,5.42,7.1,0.18,"N/A","N/A","06/30/2025",84,2,0,18.75
"https://amazon.com/dp/166811335X","https://m.media-amazon.com/images/I/81OwRHI0DRL._SX450_.jpg","166811335X","Separation of Church and Hate","Blackstone Publishing","Amazon","Books",1074156,"N/A",09781668113356,9781668113356,"166811335X","Civics & Citizenship",5,25.99,"N/A",147,147,,5891.26,5891.18,"N/A","N/A","Amazon","N/A",2,0,"N/A","Large Standard-Size",6.75,6.88,1,1,"N/A","N/A","06/30/2025",3,1,0,"N/A"
"https://amazon.com/dp/B0DL4VSBCG","https://m.media-amazon.com/images/I/91tfvKEk6LL._SX450_.jpg","B0DL4VSBCG","Adults Only 18+ [BLACKED] 2020 Interracial Threesomes Volume 9 DVD","Blacked.com","FBM","Movies & TV",81755,784300485056,"N/A",0784300485056,"N/A",,55782,29.99,77,131,131,-18,5811.89,5811.09,"N/A","N/A","Cinema Cornucopia","USA",2,0,"N/A","Large Standard-Size",9,7,1,0.44,"N/A","N/A","11/30/2024",10,1,0,"N/A"
"https://amazon.com/dp/B0FF4L834M","https://m.media-amazon.com/images/I/61oJoEZUzpL._SX450_.jpg","B0FF4L834M","TERPINK Golf Swing Trainer, Golf Grip Trainer, 2 in 1 SquareSet Control, Instant Feel-Based Feedback, Training Aid, Golf Grip Kit, Grip Trainer to Train Correct Hand Position Accessory for Beginners","TERPINK","FBA","Sports & Outdoors",81021,"N/A","N/A","N/A","N/A","Swing Trainers",279,28.99,-36,122,122,,5784.1,5783.82,6,2.1,"MirageLeo8492","China",1,0,"N/A","Large Standard-Size",3.39,5,6.65,0.29,56.75,156.55,"06/30/2025",2,7,0,61.05
"https://amazon.com/dp/B00014W9YA","https://m.media-amazon.com/images/I/31l9MK9JBgL._SX450_.jpg","B00014W9YA","Jimi Hendrix : The last 24 hours","N/A","FBA","Movies & TV",470003,"N/A","N/A",5060071500231,"N/A",,373292,29.99,-17,136,136,42,5744.81,5743.91,27,3.4,"Media Supplies Outlet","USA",3,1768,1163,"Small Standard-Size",7.1,5.42,0.58,0.18,11.28,31.12,"11/30/2024",192,1,0,5.02
"https://amazon.com/dp/B000LV6OAI","https://m.media-amazon.com/images/I/81xaWBb6n7L._SX450_.jpg","B000LV6OAI","A Siren in the Dark (Director's Cut)","Ariztical Entertainment","Amazon","Movies & TV",307471,631008063898,00631008063898,0631008063898,"N/A",,40961,29.95,-53,125,125,115,5572.42,5572.31,109,3.4,"Amazon","N/A",2,934,613,"Small Standard-Size",0.55,5.35,7.44,0.2,"N/A","N/A","11/30/2024",222,1,0,1.14
"https://amazon.com/dp/B06XSMYQD2","https://m.media-amazon.com/images/I/512R6tBpzwL._SX450_.jpg","B06XSMYQD2","Baa Baa Black Sheep Volume 1 Disc 2","N/A","FBA","Movies & TV",307109,025192776724,"N/A",0025192776724,"N/A",,236453,29.99,-22,144,144,43,5521.61,5520.74,1,3,"RapidPrimePros","USA",2,1507,"N/A","Large Standard-Size",4,4,1,0.4,8.06,22.22,"03/31/2025",100,2,0,144.19
"https://amazon.com/dp/B0F7HG117L","https://m.media-amazon.com/images/I/713-tT2kBmL._SX450_.jpg","B0F7HG117L","Sleep Earbuds, Mini ANC Wireless Earbuds Bluetooth 5.4 Headphones Deep Bass Stereo, 48H Playtime Ear Buds, 4 ENC Noise Cancelling Mic, In Ear IP7 Waterproof Earphones for Side Sleepers,Touch Control","aggoo","FBA","Electronics",42835,"N/A","N/A","N/A","N/A","Earbud Headphones",3092,29.99,-39,146,128,,6450.15,5431.92,69,3,"huangxinpeng","N/A",1,0,"N/A","Large Standard-Size",1.42,3.19,3.58,0.2,8.16,22.52,"06/30/2025",3,9,1,2.12
"https://amazon.com/dp/B000O8RFRY","https://m.media-amazon.com/images/I/51yKU9Z9AYL._SX450_.jpg","B000O8RFRY","Warren Miller's Steep and Deep","OWNSUN","FBM","Movies & TV",73709,826663853193,"N/A",0826663853193,"N/A",,49856,29.07,68,131,131,,5393.84,5392.6,10,3.6,"Shakespeare Book House","USA",2,1425,1078,"Small Standard-Size",7.1,5.42,0.58,0.18,"N/A","N/A","11/30/2024",221,1,0,13.09
"https://amazon.com/dp/B0F2P76DSF","https://m.media-amazon.com/images/I/71tooOLD22L._SX450_.jpg","B0F2P76DSF","Burrp/Más Carnaza [Blu-ray]","Massacre Video","Amazon","Movies & TV",93731,860013028329,"N/A",0860013028329,"N/A",,3863,25.99,-20,136,136,-12,5329.26,5329.09,"N/A","N/A","Amazon","N/A",1,0,"N/A","Small Standard-Size",0.55,5.39,6.89,0.22,"N/A","N/A","03/31/2025",4,2,0,"N/A"
"https://amazon.com/dp/B0D9TZLYH6","https://m.media-amazon.com/images/I/71p0GAJ+8TL._SX450_.jpg","B0D9TZLYH6","Phantom of the Opera and Les Miserables - DVD Set","Generic","FBM","Movies & TV",35917,"N/A","N/A","N/A","N/A",,5814,29.74,-20,135,135,-14,5198.09,5197.37,"N/A","N/A","Fare North","USA",2,0,"N/A","Small Standard-Size",7,5.5,0.5,0.4,"N/A","N/A","04/30/2025",13,3,0,"N/A"
"https://amazon.com/dp/B00IBKXTCW","https://m.media-amazon.com/images/I/91SCclCJEhL._SX450_.jpg","B00IBKXTCW","Republic of Doyle, Season 1","AcornMedia","FBA","Movies & TV",100024,054961219896,00054961219896,0054961219896,"N/A",,70444,29.99,-37,141,141,12,5171.24,5170.75,177,3.6,"RapidPrimePros","USA",6,1470,536,"Small Standard-Size",0.63,5.39,7.52,0.24,12.86,35.47,"11/30/2024",138,1,0,0.8
